"id","dam","sire","sex"
"TP25194","TK26079","TK27017",NA
"TP25193","TK26079","TK27017",NA
"TP25197","TK26079","TK27017",NA
"TP25192","TK26079","TK27017",NA
"TP25191","TK26079","TK27017",NA
"TP25190","TK26079","TK27017",NA
"TP25196","TK26079","TK27017",NA
"TP25189","TK26079","TK27017",NA
"TP25195","TK26079","TK27017",NA
"TP25104","T640372","X240000",NA
"TP25102","T640372","X240000",NA
"TP25101","T640372","X240000",NA
"TP25111","T640372","X240000",NA
"TP25108","T640372","X240000",NA
"TP25109","T640372","X240000",NA
"TP25103","T640372","X240000",NA
"TP25106","T640372","X240000",NA
"TP25107","T640372","X240000",NA
"TP25105","T640372","X240000",NA
"TP25110","T640372","X240000",NA
"TP25029","X239576","X239902",NA
"TP25028","X239576","X239902",NA
"TP25032","X239576","X239902",NA
"TP25026","X239576","X239902",NA
"TP25030","X239576","X239902",NA
"TP25031","X239576","X239902",NA
"TP25027","X239576","X239902",NA
"TP25098","E018375","X239908",NA
"TP25095","E018375","X239908",NA
"TP25096","E018375","X239908",NA
"TP25100","E018375","X239908",NA
