"id","dam","sire","sex"
"TR42110","E018488","TJ24871",NA
"TR42114","E018488","TJ24871",NA
"TR42113","E018488","TJ24871",NA
"TR42112","E018488","TJ24871",NA
"TR42248","TJ27563","TC58678",NA
"TR42250","TJ27563","TC58678",NA
"TR42249","TJ27563","TC58678",NA
"TR42253","TJ27563","TC58678",NA
"TR42251","TJ27563","TC58678",NA
"TR42252","TJ27563","TC58678",NA
"TP42038","TE80266","TE80341",NA
"TP42032","TE80266","TE80341",NA
"TP42036","TE80266","TE80341",NA
"TP42033","TE80266","TE80341",NA
"TP42037","TE80266","TE80341",NA
"TP42035","TE80266","TE80341",NA
"TP42034","TE80266","TE80341",NA
"TR42328","TL36408",NA,NA
"TR42321","TL36408",NA,NA
"TR42320","TL36408",NA,NA
"TR42323","TL36408",NA,NA
"TR42324","TL36408",NA,NA
"TR42329","TL36408",NA,NA
"TR42327","TL36408",NA,NA
"TR42325","TL36408",NA,NA
"TR42326","TL36408",NA,NA
"TR42322","TL36408",NA,NA
"TR42046","TP28859","X239734",NA
"TR42043","TP28859","X239734",NA
"TR42041","TP28859","X239734",NA
"TR42042","TP28859","X239734",NA
"TR42045","TP28859","X239734",NA
"TR42038","TP28859","X239734",NA
"TR42044","TP28859","X239734",NA
"TR42039","TP28859","X239734",NA
"TR42040","TP28859","X239734",NA
"TR42047","TP28859","X239734",NA
"TR42387","E50970","T640492",NA
"TR42384","E50970","T640492",NA
"TR42386","E50970","T640492",NA
"TR42389","E50970","T640492",NA
"TR42388","E50970","T640492",NA
"TR42381","E50970","T640492",NA
"TR42380","E50970","T640492",NA
"TR42382","E50970","T640492",NA
"TR42385","E50970","T640492",NA
"TR42383","E50970","T640492",NA
"TP42043","TP28756","K578724",NA
"TP42047","TP28756","K578724",NA
"TP42040","TP28756","K578724",NA
"TP42042","TP28756","K578724",NA
"TP42039","TP28756","K578724",NA
"TP42045","TP28756","K578724",NA
"TP42044","TP28756","K578724",NA
"TP42046","TP28756","K578724",NA
"TP42041","TP28756","K578724",NA
"TR42213","X239737","X239736",NA
"TR42215","X239737","X239736",NA
"TR42220","X239737","X239736",NA
"TR42221","X239737","X239736",NA
"TR42217","X239737","X239736",NA
"TR42216","X239737","X239736",NA
"TR42219","X239737","X239736",NA
"TR42214","X239737","X239736",NA
"TR42218","X239737","X239736",NA
"TR42212","X239737","X239736",NA
"TR42068","T640672","T640655",NA
"TR42058","T640672","T640655",NA
"TR42066","T640672","T640655",NA
"TR42063","T640672","T640655",NA
"TR42059","T640672","T640655",NA
"TR42064","T640672","T640655",NA
"TR42061","T640672","T640655",NA
"TR42065","T640672","T640655",NA
"TR42067","T640672","T640655",NA
"TR42062","T640672","T640655",NA
"TR42060","T640672","T640655",NA
"TR42659","X662574","TJ24902",NA
"TR42660","X662574","TJ24902",NA
"TR42656","X662574","TJ24902",NA
"TR42654","X662574","TJ24902",NA
"TR42661","X662574","TJ24902",NA
"TR42665","X662574","TJ24902",NA
"TR42663","X662574","TJ24902",NA
"TR42658","X662574","TJ24902",NA
"TR42657","X662574","TJ24902",NA
"TR42655","X662574","TJ24902",NA
"TR42664","X662574","TJ24902",NA
"TR42662","X662574","TJ24902",NA
"TR42048","TP25121","T640654",NA
"TR42049","TP25121","T640654",NA
"TR42054","TP25121","T640654",NA
"TR42056","TP25121","T640654",NA
"TR42050","TP25121","T640654",NA
"TR42055","TP25121","T640654",NA
"TR42053","TP25121","T640654",NA
"TR42057","TP25121","T640654",NA
"TR42052","TP25121","T640654",NA
"TR42051","TP25121","T640654",NA
"TR42504","X239729","X239730",NA
"TR42510","X239729","X239730",NA
"TR42511","X239729","X239730",NA
"TR42506","X239729","X239730",NA
"TR42508","X239729","X239730",NA
"TR42507","X239729","X239730",NA
"TR42501","X239729","X239730",NA
"TR42509","X239729","X239730",NA
"TR42503","X239729","X239730",NA
"TR42502","X239729","X239730",NA
"TR42505","X239729","X239730",NA
"TR42572","N199681","TL38179",NA
