"Box","laydate.change","standard.error","Oak_health_20m","Oak_health_50m","Oak_health_75m","Oak_health_100m","Oak_health_125m","Oak_health_150m","Oak_health_175m","Oak_health_200m","Oak_health_250m","No_trees_20m","No_trees_50m","No_trees_75m","No_trees_100m","No_trees_125m","No_trees_150m","No_trees_175m","No_trees_200m","No_trees_225m","No_trees_250m","territory_area","Mean_territory_area","edge.EDI.","altitude.m.","northness","habitat.type","soil.type","occupancy","duration"
"SW33",-0.344092570036541,0.0998337662699595,NA,2.14285714285714,2,1.72,1.60975609756098,1.57407407407407,1.48,1.475,1.53090909090909,0,7,15,25,41,54,75,120,184,272,7598.54280387051,16671.8264291379,9.00006,140.014,-0.472473855,"3","1",21,54
"SW34",-0.384709989684999,0.113024899174484,NA,2.5,1.6,1.88235294117647,1.86363636363636,1.72413793103448,1.52941176470588,1.56043956043956,1.57794676806084,0,2,5,17,22,29,51,91,152,258,5929.68866241723,19687.8514089839,24.6654,141.187,-0.67654187,"3","1",14,55
"SW35",-0.512175798515548,0.140276253382383,2.5,2.5,2.33333333333333,1.55555555555556,1.76923076923077,1.72727272727273,1.89285714285714,1.62162162162162,1.559670781893,2,2,3,9,13,22,28,74,147,238,4317.22980828839,14484.0404250858,45.6343,141.626,-0.730603363,"3","1",13,39
"SW36",-0.180937631247374,0.0997456338939724,NA,2,2.25,2.25,2.4,1.7,1.52173913043478,1.8,1.68939393939394,0,1,4,4,5,10,23,40,71,129,4225.9711288549,19261.7962300132,56.3417,142,-0.530511184,"3","1",21,53
"SW37",-0.44935064935065,0.146404852771008,2,2,2,2.25,2.25,2.16666666666667,1.63636363636364,1.95454545454545,1.76363636363636,1,2,3,4,4,6,11,22,41,55,2527.54119548784,10366.8771365427,9.32565,142.206,-0.922403327,"3","1",10,37
"SW38",-0.565562913907285,0.142907298936593,NA,2,2,2,2.25,2.42857142857143,2.25,1.84615384615385,1.93023255813953,0,1,2,2,4,7,8,13,28,43,2014.62097215606,7698.61457359591,7.82166,143,-0.912377498,"3","1",4,51
"SW39",-0.303053513071897,0.148500724836425,NA,NA,NA,3,2.25,2,2.25,2.23529411764706,1.95833333333333,0,0,0,2,4,8,12,17,21,24,2245.01337745693,15551.1959568569,11.6601,143.053,-0.87750632,"5","1",7,53
"SW4",-0.36350053884589,0.0699534869236762,5,2.71428571428571,2.12,2.11111111111111,1.86,1.66176470588235,1.55913978494624,1.47154471544715,1.43859649122807,0,11,22,31,45,63,88,117,141,164,3883.43383662868,34286.7941147513,44.2283,139.612,-0.868847616,"3","2",15,53
"SW40",-0.386198295572644,0.057868484747941,NA,NA,4,2.33333333333333,2,2.33333333333333,2.28571428571429,2.1875,2,0,0,1,3,5,6,14,16,19,24,1254.81339208304,7257.97613173466,11.0021,143.205,-0.696125838,"5","1",6,54
"SW41",-0.326011309264904,0.146834691203939,NA,4,2.5,2,2.44444444444444,2.16666666666667,2.30769230769231,2.05555555555556,1.92592592592593,0,1,2,4,9,12,13,18,22,27,2321.79788019555,12506.5665968622,58.1338,142.286,0.402582139,"5","1",8,36
