"Box","laydate.change","standard.error","Oak_health_20m","Oak_health_50m","Oak_health_75m","Oak_health_100m","Oak_health_125m","Oak_health_150m","Oak_health_175m","Oak_health_200m","Oak_health_250m","No_trees_20m","No_trees_50m","No_trees_75m","No_trees_100m","No_trees_125m","No_trees_150m","No_trees_175m","No_trees_200m","No_trees_225m","No_trees_250m","territory_area","Mean_territory_area","edge.EDI.","altitude.m.","northness","habitat.type","soil.type","occupancy","duration"
"B1",0.143914473684212,0.427593424094912,2,1.625,1.875,1.8695652173913,2.03571428571429,2.075,2.08695652173913,2.08928571428571,2.2463768115942,3,8,15,21,25,36,42,52,56,62,764.731871776283,5625.84157909871,77.4375,109.493,0.442280864,"5","2",6,26
"B10",-0.272156862745102,0.181413591840393,NA,2,2.36363636363636,2.26315789473684,1.85714285714286,1.81578947368421,1.86666666666667,2,2.21428571428571,0,3,10,17,26,35,42,46,53,63,1847.81995147467,9072.29950659379,97.2329,115.701,0.595048645,"5","2",11,45
"B100",-0.963597430406838,0.742111372651404,1.5,1.72727272727273,2,1.90909090909091,2.03448275862069,2.13513513513514,2.14893617021277,2.125,2.1830985915493,2,11,16,20,26,33,43,52,58,65,1611.38569087745,9937.77062870172,66.2956,106.99,0.411690918,"5","2",4,14
"B101",-0.0156753589217698,0.194202868681917,2,2,1.88235294117647,2.04347826086957,1.96551724137931,1.89189189189189,2,2.05882352941176,2.1969696969697,2,9,16,20,26,34,42,47,55,60,891.479641149519,4816.7338839751,61.6173,110.337,0.468847327,"5","2",5,47
"B102",-0.537690220596917,0.225302280433853,2,2.28571428571429,1.73333333333333,1.86363636363636,1.86206896551724,1.85714285714286,1.875,1.97826086956522,2.18032786885246,2,6,14,20,26,32,36,42,48,55,713.08255298622,6884.05955780567,28.9764,111.149,0.846422808,"5","2",6,41
"B103",-0.282107574094398,0.221654099294603,2,2.4,1.75,1.76190476190476,1.79166666666667,1.85294117647059,1.78947368421053,1.875,2.05555555555556,1,4,11,19,22,31,35,36,42,49,870.28255867213,4773.51228122972,11.1153,112.677,0.709781004,"5","2",6,49
"B104",-0.52857625972269,0.200280297905063,2,1.4,1.375,2,1.73684210526316,1.62962962962963,1.87878787878788,1.91666666666667,2.01923076923077,1,5,8,10,17,25,30,32,36,45,623.361156929284,6586.23760696128,2.65996,114.361,-0.111004087,"5","2",5,37
"B105",-0.589817436297958,0.12993942770537,1.33333333333333,1.33333333333333,1.25,1.63636363636364,1.75,1.70833333333333,1.83333333333333,2.05714285714286,2.125,3,3,8,10,14,22,27,30,39,54,762.03297962714,17476.5245840658,6.69994,118.018,-0.048307613,"5","2",9,50
"B106",-0.545666084933104,0.19664587470556,NA,1.33333333333333,1.16666666666667,1.54545454545455,1.5,1.75,2.07407407407407,2,2.14666666666667,0,3,6,10,13,14,23,34,46,63,801.880225254426,18321.739705834,1.50931,120.721,0.220869363,"5","2",7,50
"B107",0.112517267501435,0.151745361404391,1,1.8,1.54545454545455,1.5625,1.8695652173913,1.86666666666667,1.87878787878788,1.975,2.05882352941176,1,4,10,15,21,27,30,35,45,60,699.305192459375,9060.90852309067,41.9153,120.446,0.612752585,"5","2",14,36
"B108",-0.353075719272904,0.140456610879588,NA,1.6,1.93333333333333,1.76190476190476,1.83333333333333,1.87878787878788,1.80555555555556,1.8780487804878,2.10714285714286,0,5,13,19,28,30,33,37,45,50,925.657424670411,5309.49190378145,36.8232,115.469,0.871350863,"5","2",11,51
"B109",-0.376237623762383,0.178876129131752,NA,2.33333333333333,2.15384615384615,1.78260869565217,1.86206896551724,1.80555555555556,1.78947368421053,2,2.15254237288136,0,5,11,21,27,33,35,43,47,53,1002.52267302386,5920.88756966117,51.7948,114.642,0.868955605,"5","2",6,47
"B11",-0.215643631492339,0.0881138140387648,NA,2,2.28571428571429,2.1875,2.03448275862069,2,1.8936170212766,2.07142857142857,2.21917808219178,0,4,7,15,27,34,44,51,59,66,1308.02287283912,6363.09114401006,119.942,115.2,0.589262635,"5","2",20,59
"B111",-0.374861817377846,0.145202569376648,2,2,2.33333333333333,2,2,2.08823529411765,2.15909090909091,2.11864406779661,2.23684210526316,1,2,6,16,26,31,40,54,61,69,1702.2445844849,6550.36544963372,131.394,112.968,0.563775457,"5","2",8,46
"B112",-0.239795675366736,0.0853041770785428,NA,2,2.28571428571429,1.94117647058824,2.08,2.28947368421053,2.40425531914894,2.27586206896552,2.08433734939759,0,1,7,17,24,35,42,53,65,78,1356.27299178767,7164.86618543977,134.206,107.653,0.624052811,"5","2",15,53
"B113",0.2530882139224,0.174514132103108,NA,2.5,2.6,2,2.3,2.46666666666667,2.38095238095238,2.29090909090909,2.1625,0,2,5,8,19,28,39,50,62,75,798.860642998014,8245.75863726524,174.282,107.886,0.69876121,"5","2",10,57
"B114",-0.154229105903651,0.195695465142457,3,3.33333333333333,2.8,2.8,2.625,2.41025641025641,2.28,2.26229508196721,2.225,1,3,5,14,22,36,47,57,65,75,1194.07774937293,7935.51829024145,146.739,100.681,0.522019302,"5","3",9,57
"B115",-0.311619166927654,0.224875903498179,NA,2,2.7,2.66666666666667,2.42857142857143,2.33333333333333,2.29411764705882,2.265625,2.20512820512821,0,2,10,14,26,37,47,60,65,73,1247.26703581796,8794.46240747739,120.401,99.688,0.524024556,"5","3",10,43
"B116",-0.246928937956772,0.0861543907264886,4,3.4,2.76923076923077,2.69565217391304,2.43333333333333,2.28571428571429,2.17647058823529,2.21875,2.2,2,4,12,21,28,40,49,60,71,86,1513.67110999045,7589.6222922454,85.238,93.3178,-0.007791071,"5","3",10,47
"B117",-0.335511982570806,0.164038450155619,NA,3.4,3.3,2.75,2.35483870967742,2.39473684210526,2.27777777777778,2.18461538461538,2.27906976744186,0,5,9,19,30,36,51,62,76,82,1037.764904554,8002.28108276253,109.783,92.2343,0.499342354,"5","3",10,44
"B118",-0.339060788608985,0.0435663551422364,4,3.33333333333333,3.08333333333333,2.48,2.3125,2.31707317073171,2.2,2.17142857142857,2.25555555555556,1,6,11,24,31,39,48,67,78,86,1158.217833695,7284.50403338133,87.073,89.4176,0.447890173,"5","3",7,46
"B119",-0.288543570993296,0.111370891327893,3,2.25,2.4,2.4,2.39393939393939,2.25,2.28571428571429,2.28125,2.17204301075269,2,8,15,24,32,43,54,62,76,90,1454.65557944274,7116.98397729582,70.4333,82.556,0.681422469,"5","3",8,53
"B12",-0.371953933997871,0.117921784912508,NA,2,2.28571428571429,1.94117647058824,2.08,2.28947368421053,2.40425531914894,2.27586206896552,2.08433734939759,0,1,7,17,24,35,42,53,64,78,857.241428283043,7927.5140802008,136.889,107.743,0.64573226,"5","2",14,52
"B121",-0.259347516757815,0.101594417167355,2.33333333333333,1.71428571428571,2,2.23076923076923,2.15384615384615,2.29787234042553,2.21153846153846,2.20634920634921,2.11764705882353,3,7,17,26,39,46,51,62,71,83,1782.08486587927,10262.6534835069,62.4466,77.4597,0.64576291,"3","3",12,52
"B122",-0.0641296687808372,0.287348752373812,3,1.85714285714286,1.78571428571429,2.1304347826087,2.1875,2.32558139534884,2.37735849056604,2.265625,2.18604651162791,1,7,14,23,32,42,52,63,72,83,2526.48205136857,7799.57532092659,116.125,79.2122,0.739362046,"5","3",5,51
"B123",-0.391315519013361,0.0685971071392603,1.5,2,2,2.125,2.25,2.36842105263158,2.36734693877551,2.3125,2.20879120879121,2,4,8,16,28,37,48,62,72,88,1921.98901028372,8607.80200976038,154.117,83.941,0.664759793,"5","3",11,58
"B125",0.0160917881368223,0.156863274740686,2.5,2.75,2.57142857142857,2.75,2.6,2.40540540540541,2.33333333333333,2.3,2.2183908045977,2,4,7,16,24,35,48,57,71,84,904.739049115218,7157.73402735214,146.752,91.7979,0.931992687,"5","3",12,51
"B126",-0.599078341013824,0.25454312404869,4,3,3.125,2.78571428571429,2.64,2.38461538461538,2.29411764705882,2.25423728813559,2.26829268292683,1,3,8,14,23,37,48,56,65,78,960.225369967171,2557.08375856513,150.392,95.8016,0.988833398,"5","3",4,25
"B127",-0.00495682763031828,0.23245907358131,NA,3,2.66666666666667,2.72727272727273,2.63157894736842,2.56,2.39473684210526,2.31481481481481,2.3125,0,2,6,10,18,23,35,51,64,74,1632.73499845143,6330.54644075253,192.257,102.691,0.951196107,"5","2",5,42
"B129",0.165098777046093,0.333212032124027,NA,2.66666666666667,2.4,2.625,2.58333333333333,2.41666666666667,2.35135135135135,2.26530612244898,2.23170731707317,0,3,5,7,11,23,35,46,61,76,424.584923560731,4871.90853715238,201.496,107.667,0.899966773,"5","2",3,34
"B13",-0.155249110320287,0.175528362796649,NA,2.5,2.5,2.11111111111111,2.16666666666667,2.22222222222222,2.30232558139535,2.32727272727273,2.18292682926829,0,2,4,9,18,26,39,50,66,75,1100.59175465145,8233.11485131266,177.674,111.376,0.795006822,"5","2",8,42
"B133",-0.867834394904476,0.113079750175648,NA,2.66666666666667,2.4,2.125,2.1875,2,2.04761904761905,1.98245614035088,2.20238095238095,0,3,5,8,15,27,38,52,61,75,1036.09299915656,6504.16996123727,170.331,119.974,0.580467062,"5","1",3,26
"B134",-0.445146014206785,0.307071129811582,3,2.66666666666667,2.66666666666667,2.16666666666667,1.88888888888889,2.1875,1.97674418604651,2.01818181818182,2.26506024096386,2,3,3,11,17,28,39,50,59,72,948.227563864551,8187.00367139979,146.995,120.685,0.537900046,"5","1",4,46
"B136",-0.376955903271692,0.208486371339456,NA,2.66666666666667,2.2,2.1,2.15789473684211,2.04166666666667,2.02564102564103,2.05660377358491,2.14583333333333,0,3,5,9,16,21,36,48,67,83,1487.69395935349,7571.86216185754,129.776,124.696,0.447833995,"5","1",8,41
"B137",-0.24049331963001,0.111264665076455,NA,2.66666666666667,2.66666666666667,2.38461538461538,2.11111111111111,2.34375,2.26666666666667,2.30645161290323,2.0703125,0,2,4,11,16,26,38,51,90,113,1781.01680197846,10810.9747305707,84.3006,129.534,0.556295616,"5","1",10,47
"B139",-0.343597919113942,0.123214330762065,NA,2.33333333333333,2.85714285714286,2.27272727272727,2.60869565217391,2.51351351351351,2.21875,2.1264367816092,2.03053435114504,0,2,5,9,17,29,53,75,90,117,1214.3227390087,6481.88332396757,46.5086,132.07,0.762513654,"5","1",13,48
"B14",-0.424417115039718,0.242110373849741,3,2.33333333333333,2.33333333333333,2.5,2.46153846153846,2.35135135135135,2.3921568627451,2.28813559322034,2.18421052631579,1,3,6,14,24,34,47,55,66,71,1097.76928144711,9776.87337323428,141.979,102.954,0.549889026,"5","3",8,52
"B140",-0.114914895663043,0.145401998575235,NA,2.71428571428571,3,2.69565217391304,2.4468085106383,2.27692307692308,2.19047619047619,2.08823529411765,2.04651162790698,0,5,10,17,37,54,71,89,104,115,846.775647814502,7697.4363192878,55.1834,135.869,0.967983122,"5","1",11,44
"B141",-0.450276831345833,0.114789942241608,1,2.9,3.17647058823529,2.48571428571429,2.32758620689655,2.33802816901408,2.2,2.06930693069307,2.04615384615385,1,7,11,27,48,58,72,88,104,115,476.379962805775,5778.91387358365,61.6237,136.957,0.96708592,"5","1",7,55
"B142",-0.304150715293172,0.0850219382483252,2,2.14285714285714,2.125,2.46428571428571,2.24390243902439,2.16666666666667,2.1046511627907,2.10280373831776,2.06474820143885,1,6,14,22,34,62,74,94,109,125,571.762719469611,7481.27372529942,106.056,134.5,0.890872576,"5","1",10,54
"B143",0.456747404844291,0.700604462893695,NA,1.5,2.21428571428571,2.36,2.33333333333333,2.16326530612245,2.12658227848101,2.09803921568627,2.08029197080292,0,4,12,21,27,41,68,89,106,123,834.644356967881,5042.32862168802,102.082,132.88,0.967534722,"5","1",4,20
"B145",-0.166684383969381,0.104193291822534,NA,2,2.21428571428571,1.88,2.17647058823529,2.04347826086957,2.11428571428571,2.12371134020619,2.08823529411765,0,4,12,23,29,40,61,85,100,122,249.083388683968,8251.07395549976,126.723,131.58,0.986676263,"5","1",14,58
"B147",-0.372951997700488,0.153812770757187,2,2.5,2,2.13333333333333,2.15384615384615,2.35,2.07272727272727,2.06818181818182,2.0234375,1,3,9,13,23,33,48,77,99,114,425.038151724031,6044.14639445236,110.624,130.881,0.776399622,"5","1",8,50
"B148",0.135402906208726,0.319182414340634,1,1.66666666666667,1.6,2.45454545454545,2.11764705882353,2.14814814814815,2.08888888888889,2.04411764705882,2.02678571428571,1,3,5,10,16,24,41,61,73,100,1404.89055741613,7749.96693033647,150.566,126.622,0.792275799,"5","1",3,28
"B149",-0.366123399301505,0.144169537533385,2,2,1.66666666666667,2.25,2,2.26086956521739,2.15151515151515,2.05769230769231,2.02,1,1,3,8,14,22,31,48,67,89,1056.47085112333,7472.23691023964,199.15,121.191,0.937929498,"5","1",3,33
"B15",-0.349979057104296,0.115885740727318,1,2,2,2.33333333333333,2.24242424242424,2.34210526315789,2.36170212765957,2.30645161290323,2.12658227848101,1,4,9,19,31,35,44,57,66,74,2627.48392093554,7452.61472027533,101.422,101.068,0.494827862,"5","3",13,43
"B150",-0.192722547108512,0.119932136550206,NA,2,1.66666666666667,1.83333333333333,2.13333333333333,2.125,2.0625,2.06666666666667,1.92553191489362,0,2,3,6,15,24,31,42,61,87,1206.91364710103,8442.30147898331,224.301,120.466,0.933971413,"5","1",14,58
"B151",0.0430107526881712,0.128438212684714,NA,2.5,2.25,1.83333333333333,2.07692307692308,2.0952380952381,2.13793103448276,2.22727272727273,2.12222222222222,0,2,4,6,13,21,28,41,61,81,1301.79955325247,10423.3681885721,239.175,118.086,0.946565422,"5","1",7,47
"B153",-0.215355805243446,0.129372416209158,NA,2,2,2,1.8,1.96,1.71052631578947,1.86538461538462,1.94666666666667,0,5,7,10,15,24,37,49,62,71,1266.28861559555,6749.55381632591,220.878,121.48,0.638273515,"5","1",5,56
"B155",-0.390787129231738,0.119826274386513,4,1.8,1.63636363636364,1.48,1.60975609756098,1.77551020408163,2.04761904761905,2.10714285714286,2.08943089430894,1,5,11,25,39,45,56,75,93,111,1172.27738909097,8903.1525741978,172.223,129.628,0.982077989,"5","1",9,55
"B156",-0.591436865021771,0.386397410707139,2,2,2.16666666666667,1.875,1.55172413793103,1.52272727272727,1.65384615384615,1.87301587301587,2.14772727272727,1,2,6,16,29,44,50,60,66,78,1108.33817870187,7747.42439173594,221.413,125.205,0.983637568,"5","1",4,37
"B158",-0.00529284164859428,0.177025136189573,3,2,1.875,1.90909090909091,2.15384615384615,2,1.89285714285714,1.76190476190476,1.94202898550725,1,5,8,11,12,19,27,40,52,66,1650.62251170957,7047.22470798354,182.973,119.098,0.959931577,"5","2",6,49
"B159",-0.0835383820893703,0.115159006883531,1,2,2,1.8,1.9375,1.88888888888889,1.74193548387097,1.86363636363636,2,1,4,8,10,15,17,30,42,51,70,1493.04407893913,14604.0758994965,169.339,119.314,0.965080531,"5","2",18,55
"B16",-0.383647149858138,0.10048592517587,NA,3.4,3.09090909090909,2.76470588235294,2.62068965517241,2.26829268292683,2.23214285714286,2.24615384615385,2.21590909090909,0,5,10,16,27,39,53,61,66,84,1180.52776578302,6435.96939781584,114.797,94.9284,0.163122775,"5","3",18,48
"B161",-0.317458351396544,0.0839849369648386,2,1.6,1.5,1.42105263157895,1.64516129032258,1.75675675675676,1.8,1.96666666666667,2.04819277108434,1,5,8,19,31,37,44,58,71,78,1636.04403414395,12069.2584119496,217.747,122.371,0.988342918,"5","2",14,55
"B162",-0.422464862353355,0.229673447370684,1,1.33333333333333,1.1875,1.59259259259259,1.68571428571429,1.66666666666667,1.66,1.88709677419355,2.22,2,6,16,27,35,42,50,61,69,91,1641.04394745175,17539.9822467444,256.408,126.417,0.986852275,"5","1",6,41
"B163",-0.133124608641202,0.200468364611799,NA,1.33333333333333,1.5625,1.46153846153846,1.52631578947368,1.60416666666667,1.76785714285714,1.81666666666667,2.21100917431193,0,3,16,26,38,48,54,57,68,99,1742.09403379448,10414.9420752459,225.213,126.88,-0.71825989,"5","1",7,56
"B164",-0.22672064777328,0.0948736733869309,1,1.1,1.31578947368421,1.37931034482759,1.63157894736842,1.71739130434783,1.76785714285714,2,2.19491525423729,1,10,19,29,38,45,54,65,92,107,2416.60004181694,10815.6004707174,226.815,128.821,0.927926714,"2","1",4,48
"B165",-0.349139518972686,0.109296017395338,2,1.5,1.33333333333333,1.5,1.65789473684211,1.92156862745098,2.12857142857143,2.07070707070707,2.14925373134328,1,8,21,29,36,46,62,90,97,121,1874.7759920042,12234.3816763108,184.043,130.754,0.998371502,"5","1",11,50
"B166",-0.683673469387766,2.13855252771241,1.5,1.5,1.38888888888889,1.6,1.68421052631579,2.05084745762712,2.09876543209877,2.0873786407767,2.10606060606061,2,12,18,28,36,52,73,93,105,119,2669.92110222345,16561.8804157529,166.8,132.074,0.977296606,"5","1",3,8
"B168",-0.115782664941789,0.259896497916096,3.5,2.54545454545455,2.76470588235294,2.44736842105263,2.32758620689655,2.19178082191781,2.09473684210526,2.10576923076923,2.08088235294118,1,9,12,31,48,62,83,91,107,122,1915.5637535532,18964.7396009031,95.1567,136.335,0.881605957,"5","1",7,46
"B169",-0.702641295086636,0.271957549160825,4.66666666666667,3.57142857142857,2.5,2.42553191489362,2.36666666666667,2.34666666666667,2.24096385542169,2.1530612244898,2.05555555555556,1,4,24,38,49,62,70,85,103,112,1555.88000788912,11337.8078317944,58.24,139.033,0.881434554,"3","1",6,30
"B170",-0.236714975845415,0.154578645063888,1,3.5,3.14285714285714,2.74074074074074,2.42307692307692,2.3030303030303,2.20731707317073,2.14736842105263,2.048,1,3,9,19,41,54,69,82,98,111,607.472188389162,8039.61167475727,23.7453,137.692,0.98105875,"5","1",10,41
"B170A",0.421052631578731,1.91437194520751,NA,3.5,3.125,2.51428571428571,2.42307692307692,2.28787878787879,2.25301204819277,2.14130434782609,2.04,0,3,10,27,41,54,70,79,92,111,854.870496102609,10087.6624669442,17.9117,138.649,0.970225172,"3","1",3,5
"B171",-0.355227041016389,0.125820035230948,1,3.33333333333333,3,3,2.6,2.30508474576271,2.21052631578947,2.15789473684211,2.0241935483871,1,2,6,12,22,48,64,81,95,110,781.036202927702,6721.79749774829,26.0834,135.023,0.87861633,"5","1",9,53
"B172",-0.295401764979096,0.219033431905494,NA,4.5,3.75,2.9,2.68965517241379,2.22916666666667,2.19402985074627,2.1547619047619,2.1271186440678,0,1,2,6,20,39,56,72,81,103,1178.96765256138,5978.3111588317,5.56075,133.224,0.777802364,"5","1",7,48
"B173",-0.322527697989342,0.243994091105399,1,1,1.5,1.75,1.73333333333333,1.88888888888889,2.11111111111111,2.08,2.28888888888889,1,4,7,10,13,16,31,43,57,72,1107.44305804977,13665.6950153581,4.78988,124.866,0.315296266,"5","2",8,34
"B175",-0.272377109317687,0.155233947748924,5,1.8,1.625,1.75,2,1.86666666666667,1.92105263157895,1.95555555555556,2.06944444444444,0,4,7,19,22,27,34,40,45,63,1882.02859843173,10389.107678638,67.6621,121.276,0.80692114,"5","2",6,50
"B177",-0.0478280961182989,0.263755834745215,NA,NA,1.66666666666667,2.33333333333333,2.5,2.33333333333333,2.29166666666667,2.28571428571429,2.22222222222222,0,0,3,5,10,13,22,26,31,43,997.200965646654,7558.08763976849,133.078,111.057,0.985983955,"5","2",7,52
"B178",-0.185517580526186,0.0683663657197297,2,2,2.28571428571429,2.2,2.15384615384615,2.0625,2.09090909090909,2.03571428571429,1.98305084745763,1,3,6,9,12,15,20,26,40,56,1435.4110874761,6506.1639247844,144.525,116.139,0.972219374,"5","2",5,46
"B179",-0.307857644773282,0.092625631824314,NA,NA,3,2.5,2.25,2.28571428571429,2.16666666666667,2.04,2.17543859649123,0,0,1,3,7,12,16,23,37,54,671.809410804883,23168.6407345133,96.9168,113.662,0.848425234,"5","2",11,54
"B18",-0.214371257485026,0.248931885857316,3,3.375,2.85714285714286,2.4,2.39393939393939,2.28205128205128,2.24074074074074,2.16417910447761,2.21111111111111,2,7,13,24,31,37,52,65,78,86,676.107941310387,8079.54209631469,61.0565,88.1187,0.545626692,"5","3",5,56
"B180",-0.0696721311475438,0.178698461361336,NA,3.5,3.5,2.5,2.42857142857143,2.2,2.28571428571429,2.14285714285714,2,0,1,1,3,6,9,12,19,25,41,1710.23472457752,5675.18275383179,76.0304,111.899,0.97048459,"5","2",7,55
"B181",-0.0576338527081665,0.136471782029371,5,3.5,3,3,2.33333333333333,2.2,2.33333333333333,2.25,2.22222222222222,0,1,2,2,5,9,13,18,27,33,1292.45912147127,9032.46120016732,71.3919,109.583,0.148154634,"5","2",10,59
"B182",-0.367509986684424,0.168092377638396,NA,NA,3.5,3,2.85714285714286,2.45454545454545,2.33333333333333,2.36363636363636,2.34285714285714,0,0,1,2,5,9,16,20,26,33,1856.78635251321,7417.06629835797,65.8058,105.962,-0.43700588,"5","2",8,46
"B183",-0.482378854625555,0.321590931910076,NA,NA,2,3.5,3.33333333333333,2.85714285714286,2.42857142857143,2.47058823529412,2.44827586206897,0,0,1,1,2,5,12,15,21,27,1987.71156444706,6690.92219879635,18.1189,103.275,0.895660536,"5","2",5,24
"B184",-0.32426009937353,0.152857642833696,NA,NA,NA,3,2.88888888888889,2.72727272727273,2.6,2.57894736842105,2.4,0,0,0,1,7,9,13,17,24,33,2207.4373303731,7921.4932823373,45.2309,101.311,0.102105023,"5","3",8,50
"B185",0.433070866141733,0.640995180753882,3,3,3,2.5,2.57142857142857,2.875,2.33333333333333,2.4,2.17948717948718,1,1,2,4,7,7,14,18,23,37,2752.09339356516,10999.3270339389,15.3654,94.214,0.847725154,"5","3",3,13
"B186",-0.179374999999998,0.189579870618558,3,3,3,2.71428571428571,2.14285714285714,2.2,2.08333333333333,2.03571428571429,2.2093023255814,1,2,4,7,14,15,23,27,35,41,2215.69892594707,10647.9669210734,64.7987,88.4382,0.279582691,"5","3",6,49
"B188",-0.53856472166331,0.106043460602039,NA,2,1.85714285714286,2.1,1.88235294117647,1.90909090909091,1.91666666666667,1.92592592592593,2.13513513513514,0,2,7,10,17,22,24,27,32,36,1420.15766932908,8321.42440199045,44.7237,82.9965,0.291226516,"5","3",18,53
"B189",-0.317562484326674,0.111758109365162,1,1,1.5,1.66666666666667,1.83333333333333,1.89473684210526,1.9047619047619,1.91666666666667,1.93939393939394,1,4,10,15,18,19,21,24,29,33,1795.25807484239,6330.69491484953,34.9235,80.1785,0.27748066,"5","3",13,49
"B190",-0.151762148734669,0.123995116317974,2,1.5,1.4,1.30769230769231,1.5,1.6,1.76470588235294,1.89473684210526,1.84,1,8,10,13,14,15,17,19,20,25,1876.30222976394,6461.57257872894,10.8904,75.426,0.603981681,"5","3",13,44
"B191",-0.194569692217213,0.0939013861374915,1,1,1.11111111111111,1.64285714285714,1.6875,1.83333333333333,1.95,1.86363636363636,1.9,2,6,9,14,16,18,20,22,25,30,2006.45138159022,6255.58080609764,14.8896,80.2211,0.542454733,"5","3",7,55
"B192",-0.250398724082935,0.112807512333986,2,1.4,1.3,1.5,1.6,1.76470588235294,1.84210526315789,1.86363636363636,1.86842105263158,2,5,10,14,15,17,19,22,27,38,1628.46062500973,6382.64811209402,5.64377,75.2568,0.374146967,"5","3",14,57
"B193",-0.651842290542118,0.213761260432819,4,2,1.875,2,1.75,1.80952380952381,1.85714285714286,1.94594594594595,2.01754385964912,1,3,8,11,16,21,28,37,45,56,1520.49453574093,8199.7680876908,42.2118,77.2562,-0.427910056,"5","3",7,39
"B194",-0.328901073794839,0.0987085080383728,3,3,2.66666666666667,2.22222222222222,2.16666666666667,2,1.85714285714286,1.86792452830189,2.11267605633803,1,1,3,9,12,27,35,53,64,71,2784.25582950655,16845.4731633568,22.7502,75.0259,0.784062999,"5","3",13,52
"B194A",-0.738925424990691,0.24911154037663,NA,3,3.33333333333333,2.14285714285714,2.14285714285714,2,1.875,1.96153846153846,2.18055555555556,0,1,3,7,14,25,40,52,64,71,2514.38700998947,11185.896719694,48.0931,77.3649,0.984706967,"5","3",14,39
"B195",-0.325981814664345,0.0658828201572474,3,3,2.33333333333333,2.625,2.14285714285714,2.20833333333333,2.25806451612903,2.08888888888889,2.22388059701493,1,1,3,8,14,24,30,44,56,65,3296.65135570802,8981.6070881543,109.126,81.1762,0.872698047,"5","3",9,51
"B196",-0.303593046341582,0.0993531556486525,2,2,2.5,2.625,2.75,2.44444444444444,2.59090909090909,2.625,2.3015873015873,3,3,5,7,11,17,21,31,43,60,3724.65446983185,11356.1407598879,132.818,91.836,0.902073708,"5","3",11,54
"B197",-0.859133126935015,0.864052729082205,3,2.5,3,2.5,2.375,2.52380952380952,2.58620689655172,2.56410256410256,2.30666666666667,1,2,5,9,15,20,28,37,52,71,2601.94094420597,9356.23107798516,176.967,94.9331,0.649327269,"5","3",6,18
"B198",-0.255102040816348,0.901373379449063,5,2.66666666666667,2.75,2.55555555555556,2.66666666666667,2.53333333333333,2.47826086956522,2.45714285714286,2.38461538461538,0,2,3,8,11,14,21,33,42,61,1251.11847812287,14080.0603929768,162.98,101.193,0.953629264,"5","2",3,21
"B199",-0.217659137576981,0.455241280018104,2,1.5,2.75,2.66666666666667,2.44444444444444,2.61111111111111,2.5,2.29411764705882,2.31147540983607,1,2,3,5,8,16,20,32,46,58,1989.22034312598,8039.3274460545,171.757,108.001,0.783290004,"5","2",3,23
"B2",-0.226713105459262,0.0530046530207703,NA,2.22222222222222,1.73333333333333,1.8695652173913,1.90625,1.85714285714286,1.82926829268293,2.0625,2.17741935483871,0,8,14,21,29,32,38,43,50,56,562.640754566994,8426.52823981005,47.9263,112.252,0.758894089,"5","2",7,42
"B20",-0.202796244260161,0.117162846370455,NA,2.25,2.2,2.47619047619048,2.30555555555556,2.27272727272727,2.26785714285714,2.22222222222222,2.15217391304348,0,8,15,20,35,43,54,61,76,89,737.29396281112,6627.29800701952,38.9451,80.8873,0.644034178,"5","3",12,54
"B200",-0.278236914600551,0.173907036194503,1,1.5,2.66666666666667,2.71428571428571,2.81818181818182,2.4375,2.43478260869565,2.47368421052632,2.30882352941176,1,2,5,6,10,15,21,36,53,64,1300.81304869857,6580.78176969956,185.104,105.992,0.691705928,"5","2",4,51
"B201",-0.243410214168045,0.0832911301698698,NA,3.5,3.5,3.5,2.5,2.6,2.25,2.23529411764706,2.1875,0,1,1,1,3,4,7,15,19,29,2727.55347902863,13814.2149737836,31.6845,108.324,0.985564925,"5","2",25,55
"B203",-0.504318322023437,0.101520364448171,NA,3,2,2.08333333333333,2.29411764705882,2.29166666666667,2.25490196078431,2.15277777777778,2.14655172413793,0,1,3,10,14,19,41,62,79,100,3150.87975505833,8688.73299335604,34.7105,129.026,0.576070008,"5","1",15,50
"B204",-0.364532019704433,0.177484727881292,3,2.57142857142857,2.52941176470588,2.44,2.3125,2.32608695652174,2.2280701754386,2.2,2.19354838709677,1,7,16,24,31,44,55,63,73,89,551.687823741231,6034.15595868258,55.1856,84.1176,0.688860815,"5","3",4,34
"B205",-0.281754544428133,0.161556114311955,3,3.8,3,2.43478260869565,2.4,2.30769230769231,2.16,2.22857142857143,2.22727272727273,2,4,12,22,33,37,48,66,78,84,712.455171289854,8264.38764651804,71.2958,90.2378,0.256943884,"5","3",13,49
"B206",-0.382668711656442,0.137619718580563,NA,1.75,1.57142857142857,1.7,1.56,1.8,1.825,2.05357142857143,1.96103896103896,0,4,7,10,25,34,39,54,66,74,2163.80627314677,12043.3466745809,196.733,120.883,0.970173154,"5","2",13,45
"B207",-0.130746479778821,0.17393982731647,NA,2,3.5,3.5,3,2.6,2.6,2.35294117647059,2.35483870967742,0,1,1,1,2,4,8,15,22,28,2134.71441429073,7191.82043070008,19.4175,105.544,0.760333417,"5","2",13,42
"B208",0.0493207641850963,0.139588867378663,NA,NA,5,3.5,3.16666666666667,2.5,2.47058823529412,2.40909090909091,2.38235294117647,0,0,0,1,4,10,15,20,25,32,714.398996058851,8424.47631443971,58.645,104.151,-0.47953444,"5","3",12,55
