Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20221B121,b,Anett Kiss,false,b,6,true,22-06-2022,,,17-04-2022,17,0,8,1.00,true,0,08-05-2022,07-05-2022,37,12,3.40,3,9,9,9,51,15,9,3,6,9.91,9,1,,avl5581,01103f9894,,"atr9950, atr9953, atr9954",3,0,"bluti alarm, FON, control treatment, remarked, nails clipped and photos",,,,,,,,,
20221B122,b,Anett Kiss,false,b,6,true,22-06-2022,,,18-04-2022,18,0,10,0.80,true,0,10-05-2022,11-05-2022,41,14,3.50,3,10,9,5,55,15,5,6,3,8.90,5,2,atr4955,atr9965,"atr4955, atr9965",,"ajy2087, ajy2088",,0,"FON, not hatched, not hatched, eggs slighly cold, one egg looked unviable, faceplated,, single parent alarm calling",,,,,,,,,
20221B123,b,Anett Kiss,false,b,6,true,22-06-2022,,,21-04-2022,21,0,10,1.00,true,0,11-05-2022,12-05-2022,42,14,4.68,4,8,8,4,56,15,4,6,0,8.52,4,4,avl7956,atr8183,"01103fbaaf, 01103fa180",,"ajy2120, ajy2121, ajy2122, ajy2123",,0,"FON, faceplated,",,,,,,,,,
20221B124,b,Anett Kiss,false,,6,true,14-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B125,b,Anett Kiss,false,b,6,true,22-06-2022,,,22-04-2022,22,0,8,,true,0,14-05-2022,14-05-2022,44,13,4.79,4,10,10,2,58,15,2,1,2,8.60,2,2,atr5875,avl6964,"avl6964, atr5875",,,,0,,,,,,,,,,
20221B126,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B127,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B128,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B129,b,Anett Kiss,false,g,6,true,28-05-2022,,,23-04-2022,23,0,4,1.00,true,0,13-05-2022,14-05-2022,44,12,4.70,3,10,8,0,,,,6,0,,0,2,ty68310,ty70819,"01103fbe2d, ty68310, ty70819",,,,0,"75mm, FON sitting tight, fon",,,,,,,,,
20221B13,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
