Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,AFH5824,BLUTI,1,,30/05/2019 12:00,WYT,SW101A,,,,,10.1,CG,,,,,,,,,,3,3
N,AFH5825,BLUTI,1,,30/05/2019 12:00,WYT,SW101A,,,,,10.7,CG,,,,,,,,,,3,3
N,AFH5782,BLUTI,5,F,17/05/2019 13:00,WYT,SW104,,,,61,10.5,CG,,,,,M,18.7,,,,,
N,AFH5783,BLUTI,5,M,17/05/2019 13:34,WYT,SW104,,,,62,10.8,CG,,,,,M,19.6,,,,,
N,AFH5940,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.5,CG,,,,,,,,,,10,10
N,AFH5941,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.8,CG,,,,,,,,,,10,10
N,AFH5942,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.5,CG,,,,,,,,,,10,10
N,AFH5943,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.6,CG,,,,,,,,,,10,10
N,AFH5944,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,10.8,CG,,,,,,,,,,10,10
N,AFH5945,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.5,CG,,,,,,,,,,10,10
N,AFH5946,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.1,CG,,,,,,,,,,10,10
N,AFH5947,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.1,CG,,,,,,,,,,10,10
N,AFH5948,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,10.7,CG,,,,,,,,,,10,10
N,AFH5949,BLUTI,1,,19/05/2019 08:19,WYT,SW104,,,,,11.4,CG,,,,,,,,,,10,10
N,AFH5971,BLUTI,1,,20/05/2019 10:25,WYT,SW107,,,,,10.6,CG,,,,,,,,,,4,4
N,AFH5972,BLUTI,1,,20/05/2019 10:25,WYT,SW107,,,,,10.8,CG,,,,,,,,,,4,4
N,AFH5973,BLUTI,1,,20/05/2019 10:25,WYT,SW107,,,,,10.3,CG,,,,,,,,,,4,4
N,AFH5974,BLUTI,1,,20/05/2019 10:25,WYT,SW107,,,,,11.5,CG,,,,,,,,,,4,4
N,AFH4502,BLUTI,5,M,12/05/2019 16:40,WYT,SW120,,,,65,10.6,CG,,,,,M,19.8,,,,,
N,AFH5715,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.4,CG,,,,,,,,,,11,11
N,AFH5716,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.6,CG,,,,,,,,,,11,11
N,AFH5717,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.2,CG,,,,,,,,,,11,11
N,AFH5718,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.9,CG,,,,,,,,,,11,11
N,AFH5719,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.6,CG,,,,,,,,,,11,11
N,AFH5720,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11,CG,,,,,,,,,,11,11
N,AFH5721,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.6,CG,,,,,,,,,,11,11
N,AFH5722,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.6,CG,,,,,,,,,,11,11
N,AFH5723,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,10.5,CG,,,,,,,,,,11,11
N,AFH5724,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,10.7,CG,,,,,,,,,,11,11
N,AFH5725,BLUTI,1,,16/05/2019 12:10,WYT,SW120,,,,,11.5,CG,,,,,,,,,,11,11
N,AFH3999,BLUTI,5,F,06/05/2019 12:30,WYT,SW122,,,,63,7.5,KK,,,,,M,19,,,,,
N,AFH5609,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,12.5,CG,,,,,,,,,,12,12
N,AFH5610,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.1,CG,,,,,,,,,,12,12
N,AFH5611,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,12,CG,,,,,,,,,,12,12
N,AFH5612,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,10.6,CG,,,,,,,,,,12,12
N,AFH5613,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,12,CG,,,,,,,,,,12,12
N,AFH5614,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.6,CG,,,,,,,,,,12,12
N,AFH5615,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.6,CG,,,,,,,,,,12,12
N,AFH5616,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.4,CG,,,,,,,,,,12,12
N,AFH5617,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.6,CG,,,,,,,,,,12,12
N,AFH5618,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.5,CG,,,,,,,,,,12,12
N,AFH5619,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.2,CG,,,,,,,,,,12,12
N,AFH5620,BLUTI,1,,10/05/2019 10:19,WYT,SW122,,,,,11.7,CG,,,,,,,,,,12,12
N,AFH5807,BLUTI,5,M,26/05/2019 12:00,WYT,SW125,,,,63,10.4,CG,,,,,M,19.6,,,,,
N,AFH5816,BLUTI,1,,28/05/2019 12:30,WYT,SW125,,,,,11.7,CG,,,,,,,,,,7,7
N,AFH5817,BLUTI,1,,28/05/2019 12:30,WYT,SW125,,,,,11.4,CG,,,,,,,,,,7,7
N,AFH5818,BLUTI,1,,28/05/2019 12:30,WYT,SW125,,,,,11.5,CG,,,,,,,,,,7,7
N,AFH5819,BLUTI,1,,28/05/2019 12:30,WYT,SW125,,,,,11.6,CG,,,,,,,,,,7,7
N,AFH5820,BLUTI,1,,28/05/2019 12:30,WYT,SW125,,,,,12.2,CG,,,,,,,,,,7,7
N,AFH5821,BLUTI,1,,28/05/2019 12:30,WYT,SW125,,,,,11.8,CG,,,,,,,,,,7,7
N,AFH5822,BLUTI,1,,28/05/2019 12:30,WYT,SW125,,,,,11.3,CG,,,,,,,,,,7,7
N,AFH5674,BLUTI,6,F,11/05/2019 15:59,WYT,SW126,,,,58,10.3,CG,,,,,M,18.3,,,,,
O,Y837268,BLUTI,6,M,06/05/2019 12:59,WYT,SW126,89,86,,,,CG,,,,,,,,,,,
N,AFH4529,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,11.4,CG,,,,,,,,,,12,12
N,AFH4530,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.8,CG,,,,,,,,,,12,12
N,AFH4531,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.6,CG,,,,,,,,,,12,12
N,AFH4532,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.7,CG,,,,,,,,,,12,12
N,AFH4533,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.2,CG,,,,,,,,,,12,12
N,AFH4534,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,9.8,CG,,,,,,,,,,12,12
N,AFH4535,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.9,CG,,,,,,,,,,12,12
N,AFH4536,BLUTI,1,,15/05/2019 10:19,WYT,SW126,,,,,10.1,CG,,,,,,,,,,12,12
